Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Now We Die,Machine Head,Bloodstone & Diamonds,2014,430540,4,0.43,0.971,4,-4.742,0,0.149,0.00136,0.00000318,0.0777,0.0896,150.111,44
Ten Ton Hammer,Machine Head,The More Things Change...,2001,254666,4,0.282,0.99,4,-5.031,0,0.19,0.000179,0.0186,0.333,0.185,84.787,45
Battle Hymn,Manowar,Battle Hymns,1982,416693,3,0.315,0.822,4,-10.437,0,0.103,0.047,0.0077,0.274,0.164,150.499,49
Blood of the Kings,Manowar,Kings of Metal,1982,449600,4,0.358,0.686,4,-12.542,1,0.0429,0.0000549,0.0311,0.097,0.361,148.406,39
Brothers Of Metal (Part 1),Manowar,Louder Than Hell,1982,234640,3,0.566,0.917,4,-6.385,0,0.0615,0.0000554,0.0725,0.206,0.554,164.297,45
Carry On,Manowar,Fighting the World,1982,252693,4,0.497,0.904,4,-9.442,1,0.067,0.000389,0.00122,0.0939,0.429,87.862,48
Gods of War,Manowar,Gods of War,2007,446186,4,0.446,0.8,10,-5.444,0,0.0525,0.00641,0.0047,0.671,0.607,80.049,29
Hail and Kill,Manowar,Kings of Metal,1988,357026,4,0.358,0.857,4,-12.569,0,0.0581,0.00478,0.000052,0.0586,0.2,93.156,51
Kings of Metal,Manowar,Kings of Metal,1988,223866,4,0.575,0.881,9,-13.012,1,0.0357,0.000117,0.0000269,0.147,0.699,132.127,55
Sign Of The Hammer,Manowar,Sign Of The Hammer,1984,258826,4,0.177,0.971,2,-9.702,1,0.134,0.00161,0.0667,0.0626,0.0397,162.986,28
Warriors of the World United,Manowar,Warriors of the World,2002,351217,4,0.595,0.664,2,-7.575,0,0.0356,0.00234,0.0609,0.0652,0.188,87.03,58
Coma White,Marilyn Manson,Mechanical Animals,2003,338200,4,0.347,0.741,9,-7.937,0,0.0324,0.00000673,0.115,0.267,0.0994,159.918,56
Disposable Teens,Marilyn Manson,Holy Wood,2000,181506,4,0.518,0.956,10,-5.016,1,0.155,0.0000522,0.0183,0.533,0.283,134.019,59
I Don't Like The Drugs (But The Drugs Like Me),Marilyn Manson,Mechanical Animals,1998,303466,4,0.564,0.834,2,-6.978,1,0.0384,0.00129,0,0.886,0.534,93.906,53
Lunchbox,Marilyn Manson,Portrait Of An American Family,1996,272800,4,0.452,0.952,9,-6.499,1,0.218,0.00442,0.121,0.302,0.305,168.065,47
Rock Is Dead,Marilyn Manson,Mechanical Animals,2000,189760,3,0.509,0.91,11,-6.531,0,0.038,0.00000878,0.102,0.404,0.358,101.174,58
Tainted Love,Marilyn Manson,Lest We Forget - The Best Of,2003,200066,4,0.637,0.95,8,-4.4,1,0.109,0.00104,0.00000735,0.288,0.511,142.018,59
The Beautiful People,Marilyn Manson,Antichrist Superstar,1996,218826,4,0.621,0.834,10,-10.068,0,0.0557,0.000779,0.456,0.0611,0.937,143.973,73
This Is The New S**t,Marilyn Manson,The Golden Age Of Grotesque,2003,259666,4,0.566,0.869,2,-6.084,1,0.1,0.000916,0.00346,0.114,0.647,178.113,59
Blood and Thunder,Mastodon,Leviathan,2004,228586,4,0.364,0.935,2,-6.548,1,0.0724,0.00000858,0.729,0.0317,0.478,92.717,61
Colony of Birchmen,Mastodon,Blood Mountain,2006,259693,4,0.416,0.927,2,-3.257,1,0.0844,0.0000329,0.00872,0.0782,0.339,125.758,43
Crack the Skye,Mastodon,Crack the Skye,2009,354306,4,0.312,0.976,0,-5.324,1,0.093,0.00000959,0.861,0.0945,0.0692,122.755,39
Iron Tusk,Mastodon,Leviathan,2006,183013,4,0.468,0.982,2,-6.274,1,0.074,0.00000763,0.752,0.177,0.261,127.616,48
March of the Fire Ants,Mastodon,Remission (Reissue),2002,265653,3,0.144,0.947,9,-3.255,1,0.0697,0.00000244,0.884,0.0711,0.275,156.15,35
Oblivion,Mastodon,Crack the Skye,2009,346573,3,0.261,0.938,5,-5.125,0,0.086,0.0000992,0.0106,0.301,0.256,132.47,50
Show Yourself,Mastodon,Emperor of Sand,2017,182893,4,0.468,0.977,8,-4.198,1,0.0645,0.00000499,0.0213,0.0543,0.493,134.996,50
Sultan's Curse,Mastodon,Emperor of Sand,2017,249533,3,0.341,0.954,7,-4.745,0,0.082,0.0000124,0.0234,0.0308,0.23,161.858,43
The Motherload,Mastodon,Once More 'Round the Sun,2014,299786,4,0.363,0.971,5,-2.974,0,0.0776,0.0000071,0.00358,0.0797,0.347,146.018,57
A Tout Le Monde - Remastered 2004,Megadeth,Youthanasia (Expanded Edition - Remastered),1994,262133,4,0.272,0.747,5,-4.86,0,0.0401,0.000393,0.0000403,0.16,0.255,202.777,63
Hangar 18,Megadeth,Rust In Peace,1990,314560,4,0.169,0.949,7,-10.595,1,0.114,0.000101,0.616,0.297,0.147,159.678,52
Holy Wars...The Punishment Due,Megadeth,Rust In Peace,1990,396133,4,0.339,0.887,9,-12.179,1,0.0699,0.00291,0.316,0.296,0.317,125.086,52
In My Darkest Hour - Remastered 2004,Megadeth,"So Far, So Good...So What! (Expanded Edition - Remastered)",1986,386600,4,0.322,0.978,9,-5.446,1,0.131,0.0000866,0.266,0.136,0.271,112.878,53
Peace Sells,Megadeth,Greatest Hits: Back To The Start,1986,242533,4,0.307,0.905,11,-4.362,0,0.141,0.000624,0.424,0.545,0.716,138.333,36
