Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
In Mist She Was Standing,Opeth,Orchid,2005,849506,4,0.188,0.961,9,-6.597,0,0.206,0.000133,0.22,0.308,0.0523,141.084,32
The Drapery Falls,Opeth,Blackwater Park,2001,652040,3,0.103,0.859,7,-6.107,1,0.0803,0.000339,0.168,0.0974,0.306,186.415,42
The Moor (Remastered),Opeth,Still Life (Remastered),1999,686786,4,0.303,0.859,5,-6.106,1,0.0819,0.00133,0.379,0.243,0.103,126.083,41
Windowpane,Opeth,Damnation,2005,464280,4,0.328,0.553,6,-6.252,1,0.0267,0.156,0.412,0.0985,0.322,159.959,54
Coma,Overkill,Horrorscope,1989,322266,4,0.29,0.917,8,-12.687,1,0.101,0.000188,0.659,0.0814,0.148,93.009,34
Deny the Cross,Overkill,Taking Over,2003,282880,4,0.257,0.917,6,-10.764,0,0.0782,0.0000414,0.00167,0.0422,0.112,148.14,26
Elimination,Overkill,The Years of Decay,1989,275386,4,0.302,0.805,6,-11.395,0,0.0967,0.000849,0.00000419,0.151,0.578,112.766,45
Fear His Name,Overkill,Taking Over,2003,324480,3,0.211,0.823,4,-11.145,0,0.0596,0.000139,0.0802,0.122,0.543,175.386,21
Feel the Fire,Overkill,Feel the Fire,1985,352560,4,0.249,0.895,1,-9.727,0,0.0755,0.00527,0.594,0.185,0.445,152.977,22
Hello from the Gutter,Overkill,Under the Influence,1988,253933,4,0.328,0.916,2,-9.807,0,0.0713,0.00386,0.168,0.117,0.363,113.57,34
Horrorscope,Overkill,Horrorscope,1991,349173,4,0.351,0.508,9,-11.425,0,0.028,0.000313,0.772,0.0986,0.626,96.226,30
In Union We Stand,Overkill,Taking Over,1987,265840,4,0.434,0.814,4,-10.124,0,0.0469,0.0000667,0.0000154,0.105,0.491,86.281,25
Ironbound,Overkill,Ironbound,2010,397053,4,0.245,0.968,4,-5.353,0,0.141,0.000126,0.856,0.0662,0.157,95.808,24
Powersurge,Overkill,Taking Over,1987,276466,4,0.464,0.886,4,-11.546,0,0.0615,0.0000652,0.000277,0.0785,0.574,144.483,23
Rotten to the Core,Overkill,Feel the Fire,1987,299893,4,0.294,0.955,9,-9.485,1,0.0686,0.0412,0.621,0.198,0.275,102.299,26
The Years of Decay,Overkill,The Years of Decay,1989,480426,4,0.319,0.372,4,-16.307,0,0.0356,0.0422,0.00563,0.0682,0.236,109.606,30
Wrecking Crew,Overkill,Taking Over,2005,272333,4,0.318,0.939,0,-8.662,1,0.0581,0.0000291,0.198,0.202,0.382,150.401,31
Bark at the Moon,Ozzy Osbourne,Bark At The Moon,1983,257000,4,0.303,0.961,9,-5.333,0,0.243,0.00253,0.000062,0.132,0.305,146.591,63
Crazy Train,Ozzy Osbourne,Blizzard Of Ozz (40th Anniversary Expanded Edition),1980,293183,4,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,77
"Mama, I'm Coming Home",Ozzy Osbourne,No More Tears,1991,251000,4,0.282,0.656,8,-6.557,1,0.0302,0.0105,0,0.0892,0.242,139.352,66
Mr. Crowley,Ozzy Osbourne,Blizzard Of Ozz (40th Anniversary Expanded Edition),1980,302647,4,0.307,0.748,2,-6.514,0,0.0568,0.212,0.000153,0.368,0.347,108.227,62
No More Tears,Ozzy Osbourne,No More Tears,1991,443000,4,0.346,0.749,6,-6.506,1,0.035,0.00167,0.0000886,0.648,0.315,102.591,71
Suicide Solution,Ozzy Osbourne,Blizzard Of Ozz (40th Anniversary Expanded Edition),1980,258078,4,0.435,0.869,2,-4.545,1,0.0421,0.141,0.0000158,0.231,0.534,107.649,48
5 Minutes Alone,Pantera,Far Beyond Driven,1994,347440,4,0.504,0.856,7,-6.271,1,0.0423,0.000748,0.359,0.114,0.585,95.402,61
A New Level,Pantera,Vulgar Display of Power,1992,237466,4,0.302,0.868,9,-9.349,1,0.0688,0.0000568,0.185,0.0888,0.454,136.572,57
Cemetery Gates,Pantera,Cowboys from Hell,1992,422933,4,0.274,0.726,9,-11.541,1,0.0449,0.000212,0.0113,0.0993,0.426,146.449,66
Cowboys from Hell,Pantera,Cowboys from Hell,1990,243533,4,0.415,0.908,2,-9.701,1,0.0765,0.00437,0.0345,0.082,0.437,114.816,71
Domination,Pantera,Cowboys from Hell,1992,305293,4,0.372,0.888,2,-5.88,1,0.0943,0.000211,0.00442,0.115,0.555,141.374,65
I'm Broken,Pantera,Far Beyond Driven,1994,264800,4,0.419,0.878,7,-6.352,1,0.0553,0.000594,0.559,0.139,0.666,147.385,67
Mouth for War,Pantera,Vulgar Display of Power,1992,237346,4,0.329,0.954,8,-7.006,0,0.0722,0.0000042,0.000614,0.051,0.627,156.899,63
Revolution Is My Name,Pantera,Reinventing the Steel,2003,316493,4,0.243,0.988,8,-3.485,1,0.197,0.0000617,0.12,0.341,0.277,89.905,55
This Love,Pantera,Vulgar Display of Power,2003,393706,4,0.402,0.73,6,-9.327,1,0.0455,0.000312,0.323,0.103,0.296,104.527,63
Walk,Pantera,Vulgar Display of Power,1992,315120,4,0.43,0.704,1,-8.008,0,0.0804,0.000155,0.00221,0.0933,0.703,118.242,75
Best I Can,Queensryche,Empire,1990,334000,4,0.602,0.92,2,-4.396,1,0.0499,0.00297,0.000153,0.325,0.29,132.273,23
Empire,Queensryche,Empire,1990,324000,4,0.318,0.89,2,-4.542,1,0.089,0.00207,0.0000147,0.0395,0.413,78.76,24
Empire,Queensryche,,1990,347000,4,0.467,0.628,7,-5.645,1,0.0269,0.0583,0.000379,0.12,0.105,140.214,32
I Don't Believe In Love,Queensryche,Operation: Mindcrime,1988,263000,4,0.551,0.991,2,-2.642,0,0.0962,0.0338,0.0000206,0.429,0.259,117.98,38
Jet City Woman,Queensryche,Empire,1990,321000,4,0.501,0.932,8,-3.679,0,0.0896,0.0608,0.00000225,0.703,0.347,110.075,26
Operation Mindcrime,Queensryche,Operation: Mindcrime,1988,285000,4,0.536,0.981,9,-3.469,1,0.189,0.0907,0.000063,0.62,0.212,110.029,32
Silent Lucidity,Queensryche,Eyes Of A Stranger,1988,413000,4,0.486,0.973,9,-2.984,1,0.0937,0.0366,0.0000427,0.337,0.101,105.041,25
Take Hold Of The Flame,Queensryche,The Warning,1986,297000,4,0.338,0.627,9,-11.378,0,0.0351,0.0271,0.00000582,0.127,0.179,110.692,25
The Needle Lies,Queensryche,Operation: Mindcrime,1988,188000,4,0.537,0.988,0,-2.758,1,0.121,0.0551,0.000406,0.199,0.257,118.016,28
Queen Of The Reich - Remastered 2003,Queensryche,Queensryche (Remasterd) [Expanded Edition],1983,265266,4,0.275,0.978,0,-5.442,1,0.0995,0.000105,0.00798,0.246,0.345,152.506,42
Condition Critical,Quiet Riot,Condition Critical,1984,301000,4,0.4,0.52,7,-14.296,1,0.0446,0.0171,0.000707,0.131,0.505,138.622,29
Cum On Feel the Noize - Re-Recorded,Quiet Riot,Alive and Well (Deluxe Edition),1999,280000,4,0.404,0.92,2,-4.931,1,0.118,0.000807,0,0.0266,0.45,144.971,6
Don't Wanna Let You Go,Quiet Riot,Metal Health,1983,281000,4,0.649,0.842,11,-5.661,0,0.0618,0.0927,0.0834,0.142,0.866,108.269,28
Mama Weer All Crazee Now,Quiet Riot,Condition Critical,1984,216000,4,0.433,0.785,7,-13.527,1,0.0503,0.00726,0.0126,0.0889,0.421,136.484,46
Metal Health (Bang Your Head),Quiet Riot,Metal Health,1983,316000,4,0.504,0.95,2,-5.121,1,0.0846,0.00886,0.0931,0.141,0.632,121.442,32
Party All Night,Quiet Riot,Condition Critical,1984,212000,4,0.523,0.804,6,-13.661,0,0.043,0.00658,0.00353,0.62,0.689,137.446,31
Sign of the Times - Re-Recorded,Quiet Riot,Alive and Well (Deluxe Edition),1999,292000,4,0.44,0.939,4,-5.005,1,0.108,0.0149,0.0000272,0.343,0.366,137.047,5
Slick Black Cadillac,Quiet Riot,Metal Health,1983,254000,4,0.347,0.935,11,-4.817,0,0.114,0.00883,0.00112,0.125,0.622,161.638,28
The Wild And The Young,Quiet Riot,Qr III,1986,216000,4,0.517,0.678,7,-11.496,1,0.0508,0.00768,0.00014,0.0598,0.655,109.267,42
Thunderbird,Quiet Riot,Metal Health,1983,283000,4,0.369,0.752,0,-6.715,1,0.0443,0.192,0.0000087,0.0877,0.293,139.359,24
All Night Long,Rainbow,Down To Earth,1983,230533,4,0.571,0.945,7,-6.346,0,0.0461,0.0518,0.0000775,0.793,0.772,128.166,46
I Surrender,Rainbow,Difficult To Cure,1981,241893,4,0.49,0.86,7,-5.284,0,0.0573,0.132,0,0.215,0.795,132.673,53
Kill The King,Rainbow,Long Live Rock 'n' Roll,1981,270506,4,0.42,0.938,0,-7.882,1,0.0664,0.00136,0.00329,0.173,0.697,119.449,38
Long Live Rock N Roll,Rainbow,Long Live Rock 'n' Roll,1978,264960,4,0.405,0.964,0,-7.456,1,0.0573,0.13,0.000224,0.18,0.378,143.099,40
Man On The Silver Mountain,Rainbow,Ritchie Blackmore's Rainbow,1975,277226,4,0.594,0.77,7,-8.267,0,0.032,0.276,0.0176,0.0575,0.827,107.484,55
Since You Been Gone,Rainbow,Down To Earth,1979,197160,4,0.733,0.726,7,-6.514,1,0.0371,0.379,0.00000258,0.471,0.915,120.814,67
Stargazer,Rainbow,Rising,1976,506160,4,0.166,0.948,11,-8.503,0,0.0631,0.00374,0.0131,0.769,0.476,177.495,54
Street Of Dreams,Rainbow,Bent Out Of Shape,1988,265506,4,0.555,0.648,6,-8.791,0,0.0286,0.00199,0.00000383,0.0597,0.659,119.848,48
The Temple Of The King,Rainbow,Ritchie Blackmore's Rainbow,1978,282013,4,0.486,0.487,9,-11.633,0,0.0341,0.445,0.0000144,0.0648,0.373,81.972,59
Back for More,Ratt,The Essentials: Ratt,1985,227066,4,0.625,0.793,8,-8.176,0,0.0432,0.000308,0.00000513,0.0979,0.462,120.92,47
Body Talk,Ratt,The Essentials: Ratt,1990,228666,4,0.567,0.962,8,-9.004,1,0.0428,0.000107,0.148,0.162,0.146,104.092,40
Dance,Ratt,The Essentials: Ratt,1990,261053,4,0.565,0.934,8,-7.372,1,0.0459,0.00372,0.0466,0.155,0.711,128.931,40
I Want a Woman,Ratt,Reach for the Sky,1988,238866,4,0.616,0.967,4,-6.916,0,0.0432,0.00182,0.0114,0.088,0.685,127.216,41
Lay It Down,Ratt,The Essentials: Ratt,1985,205466,4,0.607,0.86,7,-8.994,1,0.0335,0.000354,0.0232,0.263,0.34,99.072,62
Round and Round,Ratt,The Essentials: Ratt,1984,265893,4,0.628,0.934,11,-6.026,1,0.0527,0.00682,0.0000111,0.0853,0.491,126.539,68
Slip of the Lip,Ratt,Dancin' Undercover,1988,196040,4,0.593,0.754,8,-12.852,1,0.0324,0.00149,0.013,0.379,0.366,95.174,43
Wanted Man,Ratt,The Essentials: Ratt,1985,222506,4,0.609,0.869,4,-7.31,1,0.0509,0.00069,0.0000078,0.0443,0.535,113.125,49
You're in Love,Ratt,The Essentials: Ratt,1985,194840,4,0.568,0.939,7,-7.127,1,0.0466,0.00267,0.0464,0.0863,0.498,145.999,55
Light Comes Out Of Black,Rob Halford,Buffy The Vampire Slayer,2002,298560,4,0.512,0.965,9,-9.107,1,0.0777,0.00000336,0.00144,0.226,0.178,135.838,20
War of Words,Rob Halford,War Of Words,1992,269360,4,0.654,0.802,2,-6.571,1,0.0349,0.00573,0.374,0.121,0.299,104.984,21
Demon Speeding,Rob Zombie,The Sinister Urge,2001,224306,4,0.549,0.81,11,-4.001,0,0.0328,0.000298,0.00000289,0.156,0.41,133.985,59
Dragula,Rob Zombie,Hellbilly Deluxe,1998,222826,4,0.59,0.963,0,-6.489,0,0.0676,0.0000875,0.000105,0.0781,0.586,125.033,78
Feel So Numb,Rob Zombie,The Sinister Urge,2001,233666,4,0.566,0.889,8,-5.22,1,0.0426,0.000043,0.00907,0.292,0.141,127.045,63
"Foxy, Foxy",Rob Zombie,Educated Horses,2006,208946,4,0.627,0.847,2,-4.497,1,0.0415,0.0117,0,0.317,0.62,110.123,42
House Of 1000 Corpses,Rob Zombie,The Sinister Urge,2001,566826,4,0.36,0.793,0,-9.169,1,0.275,0.0113,0.871,0.0915,0.168,112.91,45
Living Dead Girl,Rob Zombie,Hellbilly Deluxe,1998,201400,4,0.518,0.948,6,-5.579,0,0.0676,0.00512,0.0996,0.228,0.548,103.025,70
More Human Than Human - Live,Rob Zombie,Spookshow International Live,1995,266946,4,0.504,0.979,6,-4.593,1,0.238,0.00266,0.00015,0.996,0.138,101.061,22
"Never Gonna Stop (The Red, Red Kroovy)",Rob Zombie,The Sinister Urge,2001,189133,4,0.617,0.85,0,-4.543,1,0.0325,0.0000639,0.0000293,0.481,0.589,125.03,57
Superbeast,Rob Zombie,Hellbilly Deluxe,1998,220266,4,0.52,0.975,11,-4.421,0,0.0583,0.000137,0.826,0.42,0.329,154.058,65
The Devil's Rejects,Rob Zombie,Educated Horses,2005,234240,4,0.521,0.689,6,-4.797,1,0.0383,0.00764,0.000209,0.164,0.094,105.024,41
40:1,Sabaton,The Art of War (Re-Armed),2008,250813,4,0.462,0.941,6,-4.34,0,0.0868,0.0000697,0.000605,0.151,0.539,130.119,52
Bismarck,Sabaton,Bismarck,2015,313984,4,0.505,0.859,6,-5.546,0,0.0431,0.00346,0.0012,0.263,0.434,95.036,62
Carolus Rex - English Version,Sabaton,Carolus Rex (English),2012,293826,4,0.442,0.846,10,-5.545,0,0.0499,0.000594,0.0000926,0.101,0.241,176.138,54
Ghost Division,Sabaton,The Art of War (Re-Armed),2008,231186,4,0.343,0.945,4,-3.259,1,0.0555,0.000101,0.00000962,0.346,0.539,176.135,61
Metal Crüe,Sabaton,Attero Dominatus (Re-Armed),2019,222506,4,0.338,0.767,7,-4.601,1,0.0338,0.0000246,0.00000132,0.176,0.308,93.861,39
No Bullets Fly,Sabaton,Heroes,2014,217520,4,0.458,0.925,4,-4.82,0,0.103,0.00015,0.00162,0.225,0.344,76.994,54
Primo Victoria,Sabaton,Primo Victoria (Re-Armed),2005,250720,4,0.436,0.748,6,-6.349,0,0.031,0.000676,0.00000301,0.221,0.589,62.11,64
Swedish Pagans,Sabaton,The Art of War (Re-Armed),2008,253226,4,0.257,0.979,7,-4.079,1,0.121,0.0883,0.0452,0.545,0.17,135.067,53
The Final Solution,Sabaton,Coat of Arms,2014,296773,4,0.491,0.965,9,-3.378,0,0.0679,0.012,0.000216,0.0955,0.54,93.074,52
The Last Stand,Sabaton,The Last Stand,2016,235840,4,0.519,0.935,7,-5.656,0,0.0423,0.00454,0,0.0661,0.498,104.044,69
To Hell and Back,Sabaton,Heroes,2014,206546,4,0.536,0.849,0,-4.702,1,0.0616,0.00318,0.00197,0.104,0.305,127.002,67
Believe,Savatage,Streets - A Rock Opera,1993,342160,4,0.303,0.495,0,-9.591,1,0.0348,0.0368,0.000412,0.0857,0.136,59.59,24
Christmas Eve (Sarajevo 12/24),Savatage,Dead Winter Dead,1995,204306,3,0.198,0.632,4,-6.434,0,0.0326,0.21,0.926,0.119,0.144,186.576,23
Edge of Thorns,Savatage,Edge Of Thorns,1993,355893,4,0.312,0.675,7,-10.077,1,0.0436,0.00294,0.000147,0.249,0.258,93.153,29
Gutter Ballet,Savatage,Gutter Ballet,1989,381400,4,0.313,0.791,0,-6.629,1,0.0514,0.228,0.0758,0.134,0.184,101.328,27
Hall of the Mountain King,Savatage,Hall Of The Mountain King,1987,333813,4,0.355,0.922,0,-7.331,0,0.103,0.136,0.0138,0.265,0.276,126.937,38
Power of the Night,Savatage,Power Of The Night,1987,314080,4,0.411,0.896,5,-13.76,1,0.0803,0.0203,0.162,0.135,0.172,87.421,17
Sirens,Savatage,Sirens,1985,215706,4,0.383,0.694,7,-10.729,1,0.0569,0.000168,0.0537,0.0997,0.275,130.289,21
The Wake of Magellan,Savatage,The Wake Of Magellan,1994,370400,4,0.424,0.735,2,-8.327,1,0.0357,0.0699,0,0.202,0.494,99.372,15
When the Crowds Are Gone,Savatage,Gutter Ballet,1991,346333,4,0.355,0.447,7,-11.647,0,0.0385,0.409,0.0015,0.0761,0.315,127.691,27
747 (Strangers In the Night) (1997 - Remaster),Saxon,Wheels of Steel / Strong Arm of the Law,1980,298640,4,0.475,0.87,0,-8.878,0,0.0762,0.00926,0.000369,0.764,0.318,131.499,41
And the Bands Played on,Saxon,Denim and Leather,1990,168400,4,0.397,0.897,1,-4.54,0,0.0875,0.0144,0.00504,0.26,0.777,131.906,47
Crusader,Saxon,Crusader,1984,394666,4,0.433,0.644,9,-8.054,0,0.0381,0.000374,0.000357,0.117,0.323,91.773,44
Heavy Metal Thunder (2009 Remaster),Saxon,Strong Arm of the Law (2009 Remaster),1980,263840,4,0.312,0.965,1,-6.477,1,0.2,0.00248,0.199,0.572,0.327,107.338,30
Power and the Glory - 1999 Remaster,Saxon,Power & The Glory (1999 Remaster),1983,355400,4,0.362,0.906,2,-11.932,1,0.0411,0.000139,0.00115,0.0977,0.407,95.884,35
Princess of the Night,Saxon,Denim and Leather,1981,242453,4,0.33,0.841,1,-5.303,1,0.0562,0.000292,0.000262,0.061,0.672,106.807,52
Strong Arm of the Law (2009 Remaster),Saxon,Strong Arm of the Law (2009 Remaster),1980,277456,4,0.467,0.848,1,-8.032,1,0.0491,0.00156,0.446,0.104,0.43,133.399,36
Wheels of Steel (1997 - Remaster),Saxon,Wheels of Steel / Strong Arm of the Law,1980,358626,4,0.546,0.778,8,-8.262,1,0.0606,0.00659,0.538,0.28,0.184,131.336,48
Big City Nights,Scorpions,Love At First Sting,1984,249000,4,0.532,0.723,9,-11.779,0,0.0333,0.00152,0.00425,0.078,0.866,137.662,56
Blackout,Scorpions,Blackout,1982,228000,4,0.263,0.84,9,-9.757,1,0.0527,0.00676,0.356,0.7,0.714,89.368,49
Lovedrive,Scorpions,Lovedrive,1979,292000,4,0.299,0.663,2,-8.658,1,0.0349,0.00238,0.159,0.0787,0.347,141.21,31
Make It Real,Scorpions,Animal Magnetism,1980,229000,4,0.587,0.734,10,-8.774,1,0.0602,0.0411,0.00307,0.358,0.697,121.715,35
No One Like You,Scorpions,Blackout,1982,237000,4,0.505,0.631,9,-10.433,0,0.038,0.0203,0.0000221,0.141,0.835,118.178,68
Rock You Like A Hurricane,Scorpions,Love At First Sting,1984,252000,4,0.482,0.617,4,-12.931,0,0.0458,0.00543,0.000146,0.284,0.718,125.697,71
Send Me An Angel,Scorpions,Crazy World,1990,273000,3,0.153,0.417,1,-11.587,1,0.0318,0.434,0.000622,0.211,0.166,80.87,70
Still Loving You,Scorpions,Love At First Sting,1984,387000,4,0.273,0.39,8,-12.384,0,0.0317,0.134,0.00174,0.183,0.0851,103.955,65
The Zoo,Scorpions,Animal Magnetism,1980,330000,4,0.462,0.704,0,-10.177,1,0.0763,0.056,0.184,0.371,0.221,103.004,54
Wind Of Change,Scorpions,Crazy World,1990,312000,4,0.452,0.524,0,-10.108,1,0.0351,0.315,0,0.103,0.246,151.505,79
Attitude,Sepultura,Roots,1996,255400,4,0.475,0.942,1,-4.287,0,0.139,0.00141,0.0797,0.0939,0.178,80.356,52
Beneath the Remains,Sepultura,Beneath the Remains,1989,314160,4,0.31,0.998,9,-5.236,0,0.132,0.000087,0.00973,0.417,0.0398,118.933,42
Inner Self,Sepultura,Beneath the Remains,1996,309253,4,0.275,0.997,4,-5.216,1,0.0772,0.000164,0.0711,0.0737,0.0838,160.914,49
Kaiowas,Sepultura,Chaos A.D.,1991,223586,4,0.466,0.495,2,-13.905,1,0.126,0.11,0.706,0.399,0.269,91.572,39
Ratamahatta,Sepultura,Roots,1996,270640,4,0.53,0.95,10,-5.402,0,0.0959,0.00801,0.205,0.33,0.411,112.627,57
Refuse / Resist,Sepultura,Chaos A.D.,1993,199226,4,0.475,0.953,2,-6.951,1,0.15,0.000291,0.00338,0.104,0.232,118.033,58
Roots Bloody Roots,Sepultura,Roots,1996,212253,4,0.428,0.874,4,-6.664,0,0.128,0.000337,0.0419,0.311,0.261,119.708,63
Sepulnation,Sepultura,Nation,1996,260360,4,0.468,0.888,2,-6.113,1,0.0561,0.00000705,0.0405,0.158,0.372,113.166,36
Slave New World,Sepultura,Chaos A.D.,1996,175520,4,0.345,0.973,10,-6.181,1,0.104,0.0000626,0.00697,0.0297,0.193,97.706,48
Territory,Sepultura,Chaos A.D.,1993,287480,4,0.332,0.946,2,-6.233,1,0.127,0.000275,0.0304,0.136,0.303,153.091,58
45,Shinedown,Leave a Whisper (Deluxe Edition),2003,250093,3,0.446,0.657,7,-4.494,1,0.0262,0.0022,0,0.189,0.215,152.132,66
Bully,Shinedown,Amaryllis,2003,242746,4,0.519,0.969,6,-2.34,0,0.0662,0.0000903,0,0.111,0.48,77.011,56
Cut the Cord,Shinedown,Threat to Survival,2015,224596,4,0.447,0.966,7,-2.966,1,0.089,0.00349,0.000198,0.312,0.533,178.105,70
GET UP,Shinedown,ATTENTION ATTENTION,2008,245786,4,0.552,0.935,0,-4.096,1,0.0623,0.0174,0.00000198,0.116,0.38,74.954,57
How Did You Love,Shinedown,Threat to Survival,2018,187626,4,0.331,0.75,5,-5.202,1,0.0436,0.0000686,0.00000121,0.0945,0.26,185.97,57
If You Only Knew,Shinedown,The Sound of Madness,2008,226640,4,0.449,0.956,9,-4.011,0,0.0398,0.000347,0,0.325,0.321,97.011,54
Planet Zero,Shinedown,Planet Zero,2022,222738,4,0.416,0.964,9,-2.967,1,0.112,0.0000235,0.000875,0.473,0.212,157.925,55
Second Chance,Shinedown,The Sound of Madness,2008,222066,4,0.46,0.796,0,-4.501,0,0.0333,0.00107,0,0.106,0.182,100.011,69
Simple Man - Rock Version,Shinedown,Leave a Whisper (Deluxe Edition),2008,265800,4,0.532,0.625,7,-4.95,1,0.0293,0.064,0,0.223,0.225,120.853,60
Sound of Madness,Shinedown,The Sound of Madness,2008,233986,4,0.328,0.939,2,-1.654,0,0.0423,0.0000493,0.0065,0.337,0.329,185.971,70
18 and Life,Skid Row,Skid Row,1989,229960,4,0.303,0.648,1,-11.101,0,0.0347,0.00226,0.0000149,0.112,0.305,180.898,73
Beggar's Day,Skid Row,Slave to the Grind,1991,242666,4,0.437,0.928,0,-6.763,1,0.0524,0.000252,0.00993,0.112,0.267,96.845,31
I Remember You,Skid Row,Skid Row,1989,313693,4,0.482,0.528,0,-12.708,1,0.0267,0.00658,0.00000722,0.14,0.489,88.156,69
In a Darkened Room,Skid Row,Slave to the Grind,1991,235066,4,0.348,0.668,4,-8.97,0,0.0313,0.00275,0.00000105,0.192,0.364,62.919,62
Monkey Business,Skid Row,Slave to the Grind,1991,258265,4,0.497,0.901,6,-6.724,0,0.0511,0.00102,0.000688,0.104,0.571,96.922,59
Piece of Me,Skid Row,Skid Row,1991,166693,4,0.487,0.871,4,-10.67,1,0.0476,0.00721,0.0035,0.508,0.835,142.532,55
Slave to the Grind,Skid Row,Slave to the Grind,1991,208666,4,0.486,0.977,7,-7.566,1,0.105,0.0000068,0.355,0.242,0.307,133.173,58
The Threat,Skid Row,Slave to the Grind,1991,229466,4,0.528,0.959,7,-5.538,1,0.0658,0.0007,0.0000917,0.392,0.421,114.726,47
Wasted Time,Skid Row,Slave to the Grind,1989,348760,4,0.368,0.877,0,-6.816,0,0.0466,0.0102,0,0.0754,0.29,84.573,57
Youth Gone Wild,Skid Row,Skid Row,1989,198906,4,0.535,0.718,7,-11.276,0,0.044,0.00203,0.000119,0.356,0.628,117.369,68
Before I Forget,Slipknot,Vol. 3: The Subliminal Verses,2004,278600,4,0.291,0.974,6,-2.997,0,0.171,0.0177,0.00000544,0.886,0.348,134.724,77
Duality,Slipknot,Vol. 3: The Subliminal Verses,2004,252613,4,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,80
Left Behind,Slipknot,Iowa,2001,241466,4,0.229,0.994,6,-3.431,1,0.22,0.0000703,0.00548,0.318,0.115,156.623,65
Psychosocial,Slipknot,All Hope Is Gone,2008,283400,4,0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093,62
Snuff,Slipknot,All Hope Is Gone,2008,276146,4,0.544,0.69,6,-5.723,0,0.0425,0.012,0.0095,0.0615,0.219,123.962,67
Spit It Out,Slipknot,Slipknot (10th Anniversary Edition),2001,159773,4,0.331,0.946,7,-4.599,1,0.0775,0.0309,0.00000562,0.254,0.534,139.965,63
Sulfur,Slipknot,All Hope Is Gone,2008,277800,4,0.278,0.985,11,-1.934,1,0.129,0.000234,0.000235,0.104,0.342,104.803,56
The Heretic Anthem,Slipknot,Iowa,2001,254000,4,0.451,0.993,1,-4.143,1,0.185,0.000562,0.00479,0.152,0.14,100.827,63
Vermilion,Slipknot,Vol. 3: The Subliminal Verses,2004,316666,3,0.219,0.989,11,-2.962,0,0.16,0.00421,0.0156,0.375,0.149,168.069,64
Wait and Bleed,Slipknot,Slipknot (10th Anniversary Edition),1999,147840,4,0.382,0.996,7,-4.119,1,0.104,0.00208,0,0.417,0.327,93.345,68
30/30-150,Stone Sour,Come What(ever) May [10th Anniversary Edition],2006,258066,4,0.512,0.919,4,-4.581,1,0.0894,0.0000403,0.000629,0.0899,0.602,163.035,51
Absolute Zero,Stone Sour,"House of Gold & Bones, Part 1",2012,229840,4,0.552,0.988,1,-2.555,0,0.0787,0.000108,0.309,0.846,0.619,139.941,65
Bother,Stone Sour,Stone Sour,2002,240400,4,0.272,0.281,1,-7.634,1,0.0287,0.388,0.0000229,0.158,0.141,89.914,62
Get Inside,Stone Sour,Stone Sour,2002,193533,4,0.265,0.957,11,-3.415,1,0.0995,0.0000223,0.0291,0.105,0.396,151.61,47
Made of Scars,Stone Sour,Come What(ever) May [10th Anniversary Edition],2008,203680,4,0.529,0.841,1,-4.025,1,0.0428,0.00000516,0.000846,0.0404,0.283,101.695,44
Say You'll Haunt Me,Stone Sour,Audio Secrecy,2010,264373,4,0.559,0.868,11,-4.738,0,0.0475,0.000012,0.00394,0.0418,0.684,140.021,56
sillyworld,Stone Sour,Come What(ever) May [10th Anniversary Edition],2006,250160,4,0.36,0.782,1,-4.561,1,0.0452,0.000144,0.00000884,0.102,0.306,159.985,35
Through Glass,Stone Sour,Come What(ever) May [10th Anniversary Edition],2006,282946,4,0.545,0.753,3,-4.618,0,0.036,0.0417,0,0.389,0.434,105.754,69
Big Empty,Stone Temple Pilots,Thank You,1994,293986,4,0.335,0.716,7,-7.023,1,0.0406,0.0346,0,0.107,0.3,121.791,42
Creep,Stone Temple Pilots,Thank You,1992,332626,4,0.659,0.563,4,-6.32,0,0.0287,0.00431,0.0155,0.11,0.161,107.745,57
Dead & Bloated - 2017 Remaster,Stone Temple Pilots,Core (Super Deluxe Edition),1992,310080,4,0.574,0.862,7,-6.449,1,0.0601,0.000971,0,0.0923,0.594,122.993,54
Interstate Love Song,Stone Temple Pilots,Thank You,1994,193613,4,0.214,0.947,4,-5.053,1,0.0509,0.000553,0.00322,0.238,0.484,170.748,53
Lady Picture Show,Stone Temple Pilots,Tiny Music...Songs from the Vatican Gift Shop,1996,246306,4,0.343,0.936,4,-4.897,1,0.0386,0.0148,0.0000337,0.113,0.522,156.905,49
Plush,Stone Temple Pilots,Thank You,1992,310400,4,0.417,0.913,7,-6.049,0,0.0441,0.00248,0.00000109,0.166,0.439,144.591,57
Sour Girl,Stone Temple Pilots,No. 4,1999,256253,4,0.394,0.663,0,-6.619,1,0.0295,0.0769,0.00644,0.239,0.737,207.575,54
Trippin' on a Hole in a Paper Heart,Stone Temple Pilots,Tiny Music...Songs from the Vatican Gift Shop,1996,175920,4,0.47,0.989,7,-3.857,1,0.0632,0.000386,0.00161,0.157,0.446,106.479,61
